advisor_id;first_name;last_name;role;email
ad_04437;Darryl;Warren;advisor;darryl.warren@example.com
ad_07337;Jimmie;Jensen;advisor;jimmie.jensen@example.com
ad_12776;Anna;Willis;advisor;anna.willis@example.com
ad_20778;Ken;Jackson;advisor;ken.jackson@example.com
ad_24042;Brandy;Stone;advisor;brandy.stone@example.com
ad_29975;Abigail;Banks;advisor;abigail.banks@example.com
ad_31332;Derrick;Moore;advisor;derrick.moore@example.com
ad_36704;Joy;Ward;advisor;joy.ward@example.com
ad_37800;Brianna;Dunn;advisor;brianna.dunn@example.com
ad_40136;Martha;Hawkins;advisor;martha.hawkins@example.com
ad_42542;Max;Hopkins;advisor;max.hopkins@example.com
ad_46452;Charlene;Castillo;advisor;charlene.castillo@example.com
ad_50572;Janice;Steward;advisor;janice.steward@example.com
ad_51419;Ernest;Hart;advisor;ernest.hart@example.com
ad_57452;Krin;Riley;advisor;krin.riley@example.com
ad_65364;Suzanne;Terry;advisor;suzanne.terry@example.com
ad_65777;Perry;Jennings;advisor;perry.jennings@example.com
ad_69089;Dolores;Murphy;advisor;dolores.murphy@example.com
ad_70680;Melvin;Young;advisor;melvin.young@example.com
ad_70786;Stanley;Neal;advisor;stanley.neal@example.com
ad_72655;Micheal;Hamilton;advisor;micheal.hamilton@example.com
ad_84214;Mattie;Owens;advisor;mattie.owens@example.com
ad_85314;Martha;Steward;advisor;martha.steward@example.com
ad_87754;Rose;Dixon;advisor;rose.dixon@example.com
ad_93361;Sylvia;Bailey;advisor;sylvia.bailey@example.com
ad_93981;Christy;Kuhn;advisor;christy.kuhn@example.com
ad_97980;Duane;Brewer;advisor;duane.brewer@example.com
