advisor_id;password
ad_04437;mypassword2
ad_07337;mypassword2
ad_12776;mypassword2
ad_20778;mypassword2
ad_24042;mypassword2
ad_29975;mypassword2
ad_31332;mypassword2
ad_36704;mypassword2
ad_37800;mypassword2
ad_40136;mypassword2
ad_42542;mypassword2
ad_46452;mypassword2
ad_50572;mypassword2
ad_51419;mypassword2
ad_57452;mypassword2
ad_65364;mypassword2
ad_65777;mypassword2
ad_69089;mypassword2
ad_70680;mypassword2
ad_70786;mypassword2
ad_72655;mypassword2
ad_84214;mypassword2
ad_85314;mypassword2
ad_87754;mypassword2
ad_93361;mypassword2
ad_93981;mypassword2
ad_97980;mypassword2
