user_id;password
cs_23810;mypassword
cs_91685;mypassword
cs_38025;mypassword
cs_11471;mypassword
cs_59125;mypassword
cs_15167;mypassword
cs_97505;mypassword
cs_31321;mypassword
cs_27625;mypassword
cs_80362;mypassword
cs_95184;mypassword
cs_19819;mypassword
cs_39012;mypassword
cs_26803;mypassword
cs_38289;mypassword
cs_66646;mypassword
cs_49276;mypassword
cs_98826;mypassword
cs_39279;mypassword
cs_52748;mypassword
cs_30219;mypassword
cs_95969;mypassword
cs_83948;mypassword
cs_95362;mypassword
cs_56318;mypassword
cs_27850;mypassword
cs_90350;mypassword
cs_64407;mypassword
cs_09435;mypassword
cs_75472;mypassword
cs_25243;mypassword
cs_41287;mypassword
cs_77078;mypassword
cs_80720;mypassword
cs_77840;mypassword
cs_62420;mypassword
cs_52382;mypassword
cs_92512;mypassword
cs_21220;mypassword
cs_55865;mypassword
cs_01165;mypassword
cs_39847;mypassword
cs_46571;mypassword
cs_25141;mypassword
cs_24478;mypassword
cs_14336;mypassword
cs_05725;mypassword
cs_94558;mypassword
cs_91582;mypassword
cs_61086;mypassword
cs_19989;mypassword
cs_86220;mypassword
cs_58261;mypassword
cs_39262;mypassword
cs_52975;mypassword
cs_80268;mypassword
cs_68915;mypassword
cs_01626;mypassword
cs_19391;mypassword
cs_55393;mypassword
cs_43283;mypassword
cs_47778;mypassword
cs_24843;mypassword
cs_06644;mypassword
cs_70589;mypassword
cs_10081;mypassword
cs_29571;mypassword
cs_78473;mypassword
cs_40595;mypassword
cs_13343;mypassword
cs_50907;mypassword
cs_39111;mypassword
cs_63250;mypassword
cs_68378;mypassword
cs_48684;mypassword
cs_60252;mypassword
cs_09148;mypassword
cs_02985;mypassword
cs_50259;mypassword
cs_89716;mypassword
cs_98974;mypassword
cs_04240;mypassword
cs_28512;mypassword
cs_65903;mypassword
cs_23593;mypassword
cs_30852;mypassword
cs_36922;mypassword
cs_60344;mypassword
cs_76222;mypassword
cs_21713;mypassword
cs_83405;mypassword
cs_13974;mypassword
cs_60906;mypassword
cs_74548;mypassword
cs_40768;mypassword
cs_92192;mypassword
cs_60645;mypassword
cs_32902;mypassword
cs_40816;mypassword
cs_58397;mypassword
cs_89749;mypassword
cs_39406;mypassword
cs_41746;mypassword
cs_25266;mypassword
cs_93176;mypassword
cs_92563;mypassword
cs_40021;mypassword
cs_82467;mypassword
cs_04174;mypassword
cs_90178;mypassword
cs_48471;mypassword
cs_29033;mypassword
cs_23811;mypassword
cs_30621;mypassword
cs_24047;mypassword
cs_38351;mypassword
cs_44786;mypassword
cs_19098;mypassword
cs_02996;mypassword
cs_76644;mypassword
cs_33159;mypassword
cs_82903;mypassword
cs_78584;mypassword
cs_05872;mypassword
cs_21326;mypassword
cs_26276;mypassword
cs_28435;mypassword
cs_55470;mypassword
